totim,time_step,stress_period,name,ZONE_1
19.999998,17,19,FROM_STORAGE,55510.44
19.999998,17,19,FROM_CONSTANT_HEAD,0.0
19.999998,17,19,FROM_RECHARGE,28844.887
19.999998,17,19,FROM_STREAM_LEAKAGE,0.0
19.999998,17,19,FROM_ZONE_1,0.0
19.999998,17,19,TOTAL_IN,84355.33
19.999998,17,19,TO_STORAGE,59020.926
19.999998,17,19,TO_CONSTANT_HEAD,0.0
19.999998,17,19,TO_RECHARGE,0.0
19.999998,17,19,TO_STREAM_LEAKAGE,25394.266
19.999998,17,19,TO_ZONE_1,0.0
19.999998,17,19,TOTAL_OUT,84415.19
19.999998,17,19,IN-OUT,59.859375
19.999998,17,19,PERCENT_DISCREPANCY,0.07093582
20.999998,17,20,FROM_STORAGE,53948.406
20.999998,17,20,FROM_CONSTANT_HEAD,0.0
20.999998,17,20,FROM_RECHARGE,28844.887
20.999998,17,20,FROM_STREAM_LEAKAGE,0.0
20.999998,17,20,FROM_ZONE_1,0.0
20.999998,17,20,TOTAL_IN,82793.3
20.999998,17,20,TO_STORAGE,57418.434
20.999998,17,20,TO_CONSTANT_HEAD,0.0
20.999998,17,20,TO_RECHARGE,0.0
20.999998,17,20,TO_STREAM_LEAKAGE,25415.312
20.999998,17,20,TO_ZONE_1,0.0
20.999998,17,20,TOTAL_OUT,82833.75
20.999998,17,20,IN-OUT,40.453125
20.999998,17,20,PERCENT_DISCREPANCY,0.048848454
21.999998,17,21,FROM_STORAGE,52951.73
21.999998,17,21,FROM_CONSTANT_HEAD,0.0
21.999998,17,21,FROM_RECHARGE,28844.887
21.999998,17,21,FROM_STREAM_LEAKAGE,0.0
21.999998,17,21,FROM_ZONE_1,0.0
21.999998,17,21,TOTAL_IN,81796.62
21.999998,17,21,TO_STORAGE,56419.31
21.999998,17,21,TO_CONSTANT_HEAD,0.0
21.999998,17,21,TO_RECHARGE,0.0
21.999998,17,21,TO_STREAM_LEAKAGE,25435.719
21.999998,17,21,TO_ZONE_1,0.0
21.999998,17,21,TOTAL_OUT,81855.03
21.999998,17,21,IN-OUT,58.414062
21.999998,17,21,PERCENT_DISCREPANCY,0.0713883
22.999998,17,22,FROM_STORAGE,51543.117
22.999998,17,22,FROM_CONSTANT_HEAD,0.0
22.999998,17,22,FROM_RECHARGE,28844.887
22.999998,17,22,FROM_STREAM_LEAKAGE,0.0
22.999998,17,22,FROM_ZONE_1,0.0
22.999998,17,22,TOTAL_IN,80388.0
22.999998,17,22,TO_STORAGE,54972.812
22.999998,17,22,TO_CONSTANT_HEAD,0.0
22.999998,17,22,TO_RECHARGE,0.0
22.999998,17,22,TO_STREAM_LEAKAGE,25455.54
22.999998,17,22,TO_ZONE_1,0.0
22.999998,17,22,TOTAL_OUT,80428.35
22.999998,17,22,IN-OUT,40.351562
22.999998,17,22,PERCENT_DISCREPANCY,0.05018341
23.999998,17,23,FROM_STORAGE,51003.727
23.999998,17,23,FROM_CONSTANT_HEAD,0.0
23.999998,17,23,FROM_RECHARGE,28844.887
23.999998,17,23,FROM_STREAM_LEAKAGE,0.0
23.999998,17,23,FROM_ZONE_1,0.0
23.999998,17,23,TOTAL_IN,79848.61
23.999998,17,23,TO_STORAGE,54458.066
23.999998,17,23,TO_CONSTANT_HEAD,0.0
23.999998,17,23,TO_RECHARGE,0.0
23.999998,17,23,TO_STREAM_LEAKAGE,25474.941
23.999998,17,23,TO_ZONE_1,0.0
23.999998,17,23,TOTAL_OUT,79933.01
23.999998,17,23,IN-OUT,84.39844
23.999998,17,23,PERCENT_DISCREPANCY,0.10564223
24.999998,17,24,FROM_STORAGE,49601.8
24.999998,17,24,FROM_CONSTANT_HEAD,0.0
24.999998,17,24,FROM_RECHARGE,28844.887
24.999998,17,24,FROM_STREAM_LEAKAGE,0.0
24.999998,17,24,FROM_ZONE_1,0.0
24.999998,17,24,TOTAL_IN,78446.69
24.999998,17,24,TO_STORAGE,53010.92
24.999998,17,24,TO_CONSTANT_HEAD,0.0
24.999998,17,24,TO_RECHARGE,0.0
24.999998,17,24,TO_STREAM_LEAKAGE,25493.672
24.999998,17,24,TO_ZONE_1,0.0
24.999998,17,24,TOTAL_OUT,78504.59
24.999998,17,24,IN-OUT,57.90625
24.999998,17,24,PERCENT_DISCREPANCY,0.07378882
25.999998,17,25,FROM_STORAGE,48598.867
25.999998,17,25,FROM_CONSTANT_HEAD,0.0
25.999998,17,25,FROM_RECHARGE,28844.887
25.999998,17,25,FROM_STREAM_LEAKAGE,0.0
25.999998,17,25,FROM_ZONE_1,0.0
25.999998,17,25,TOTAL_IN,77443.75
25.999998,17,25,TO_STORAGE,51986.85
25.999998,17,25,TO_CONSTANT_HEAD,0.0
25.999998,17,25,TO_RECHARGE,0.0
25.999998,17,25,TO_STREAM_LEAKAGE,25511.941
25.999998,17,25,TO_ZONE_1,0.0
25.999998,17,25,TOTAL_OUT,77498.8
25.999998,17,25,IN-OUT,55.046875
25.999998,17,25,PERCENT_DISCREPANCY,0.07105456
26.999998,17,26,FROM_STORAGE,47421.4
26.999998,17,26,FROM_CONSTANT_HEAD,0.0
26.999998,17,26,FROM_RECHARGE,28844.887
26.999998,17,26,FROM_STREAM_LEAKAGE,0.0
26.999998,17,26,FROM_ZONE_1,0.0
26.999998,17,26,TOTAL_IN,76266.28
26.999998,17,26,TO_STORAGE,50776.367
26.999998,17,26,TO_CONSTANT_HEAD,0.0
26.999998,17,26,TO_RECHARGE,0.0
26.999998,17,26,TO_STREAM_LEAKAGE,25529.697
26.999998,17,26,TO_ZONE_1,0.0
26.999998,17,26,TOTAL_OUT,76306.06
26.999998,17,26,IN-OUT,39.78125
26.999998,17,26,PERCENT_DISCREPANCY,0.052147392
27.999998,17,27,FROM_STORAGE,46721.773
27.999998,17,27,FROM_CONSTANT_HEAD,0.0
27.999998,17,27,FROM_RECHARGE,28844.887
27.999998,17,27,FROM_STREAM_LEAKAGE,0.0
27.999998,17,27,FROM_ZONE_1,0.0
27.999998,17,27,TOTAL_IN,75566.66
27.999998,17,27,TO_STORAGE,50077.07
27.999998,17,27,TO_CONSTANT_HEAD,0.0
27.999998,17,27,TO_RECHARGE,0.0
27.999998,17,27,TO_STREAM_LEAKAGE,25547.018
27.999998,17,27,TO_ZONE_1,0.0
27.999998,17,27,TOTAL_OUT,75624.086
27.999998,17,27,IN-OUT,57.429688
27.999998,17,27,PERCENT_DISCREPANCY,0.075969845
28.999998,17,28,FROM_STORAGE,45508.188
28.999998,17,28,FROM_CONSTANT_HEAD,0.0
28.999998,17,28,FROM_RECHARGE,28844.887
28.999998,17,28,FROM_STREAM_LEAKAGE,0.0
28.999998,17,28,FROM_ZONE_1,0.0
28.999998,17,28,TOTAL_IN,74353.08
28.999998,17,28,TO_STORAGE,48817.805
28.999998,17,28,TO_CONSTANT_HEAD,0.0
28.999998,17,28,TO_RECHARGE,0.0
28.999998,17,28,TO_STREAM_LEAKAGE,25563.81
28.999998,17,28,TO_ZONE_1,0.0
28.999998,17,28,TOTAL_OUT,74381.62
28.999998,17,28,IN-OUT,28.539062
28.999998,17,28,PERCENT_DISCREPANCY,0.0383758
29.999998,17,29,FROM_STORAGE,45020.082
29.999998,17,29,FROM_CONSTANT_HEAD,0.0
29.999998,17,29,FROM_RECHARGE,28844.887
29.999998,17,29,FROM_STREAM_LEAKAGE,0.0
29.999998,17,29,FROM_ZONE_1,0.0
29.999998,17,29,TOTAL_IN,73864.97
29.999998,17,29,TO_STORAGE,48338.87
29.999998,17,29,TO_CONSTANT_HEAD,0.0
29.999998,17,29,TO_RECHARGE,0.0
29.999998,17,29,TO_STREAM_LEAKAGE,25580.309
29.999998,17,29,TO_ZONE_1,0.0
29.999998,17,29,TOTAL_OUT,73919.18
29.999998,17,29,IN-OUT,54.210938
29.999998,17,29,PERCENT_DISCREPANCY,0.07336502
30.999998,17,30,FROM_STORAGE,44218.848
30.999998,17,30,FROM_CONSTANT_HEAD,0.0
30.999998,17,30,FROM_RECHARGE,28844.887
30.999998,17,30,FROM_STREAM_LEAKAGE,0.0
30.999998,17,30,FROM_ZONE_1,0.0
30.999998,17,30,TOTAL_IN,73063.734
30.999998,17,30,TO_STORAGE,47520.14
30.999998,17,30,TO_CONSTANT_HEAD,0.0
